X[m], Tg[K], Pg[Pa], Rhog[kg/m^3], Rd[m], Yf, Ug[m/s], HRR
0.0299893258 2879.063171 1521783.440146 1.768751 1.202643e-06 3.567847e-09 903.814930 2.914223e+10
0.0318601833 2877.887981 1481720.306875 1.722337 6.551507e-07 1.569928e-09 928.823485 1.986164e+10
0.0320285605 2877.774056 1478575.832820 1.718765 5.947061e-07 1.396446e-09 930.787614 1.873695e+10
0.0321969377 2877.672224 1475540.916568 1.715324 5.300368e-07 1.193183e-09 932.683593 1.789823e+10
0.0323653149 2877.583514 1472611.728114 1.712010 4.602425e-07 9.742901e-10 934.513779 1.707306e+10
0.0325336920 2877.515813 1469802.771567 1.708837 3.844011e-07 7.416226e-10 936.269060 1.617711e+10
0.0327020692 2877.475531 1467129.558753 1.705818 3.019906e-07 4.977899e-10 937.939678 1.526641e+10
0.0328155615 2877.466348 1465411.306512 1.703879 2.439441e-07 3.277366e-10 939.013555 1.463644e+10
0.0329290538 2877.472441 1463766.071110 1.702022 1.915834e-07 1.689246e-10 940.041824 1.398198e+10
0.0330425461 2877.492811 1462200.624967 1.700255 1.537359e-07 4.772526e-11 941.020238 1.329996e+10
0.0331560384 2877.523419 1460719.972081 1.698585 1.415069e-07 0.000000e+00 941.945658 1.259788e+10
0.0332695307 2877.557237 1459321.397613 1.697010 1.432720e-07 0.000000e+00 942.819759 1.196860e+10
0.0335091147 2877.617435 1456546.461108 1.693893 1.427921e-07 0.000000e+00 944.554101 1.097476e+10
0.0337486988 2877.658011 1453953.781127 1.690992 1.446196e-07 3.234372e-12 946.174448 1.023216e+10
0.0339882828 2877.677356 1451494.530386 1.688249 1.450377e-07 3.313400e-12 947.711419 9.585048e+09
0.0342278668 2877.677796 1449149.284491 1.685642 1.447383e-07 2.335959e-13 949.177189 8.993443e+09
0.0348552576 2877.582454 1443665.101244 1.679589 1.449899e-07 0.000000e+00 952.604442 7.706000e+09
0.0354826484 2877.416909 1438743.188112 1.674192 1.455985e-07 0.000000e+00 955.680319 6.656488e+09
0.0361100392 2877.208303 1434311.096298 1.669357 1.460917e-07 0.000000e+00 958.450071 5.743543e+09
0.0374471151 2876.667781 1426020.906144 1.660378 1.469797e-07 0.000000e+00 963.631283 4.327677e+09
0.0387841909 2876.037453 1419171.340934 1.653038 1.478769e-07 1.067025e-12 967.912281 3.367928e+09
0.0401212667 2875.368682 1413448.479901 1.646965 1.485014e-07 0.000000e+00 971.489032 2.666905e+09
0.0414583425 2874.721491 1408646.110126 1.641904 1.492651e-07 1.425589e-12 974.490499 2.143120e+09
0.0437658923 2873.681788 1401838.245764 1.634780 1.502601e-07 0.000000e+00 978.745475 1.504974e+09
0.0460734420 2872.740085 1396469.887711 1.629212 1.512336e-07 0.000000e+00 982.100372 1.120904e+09
0.0483809918 2871.856034 1392024.368837 1.624645 1.521264e-07 0.000000e+00 984.878136 9.271369e+08
0.0506885415 2870.935927 1387938.084235 1.620492 1.529236e-07 0.000000e+00 987.430495 7.896538e+08
0.0519594826 2870.475557 1385899.674679 1.618419 1.534174e-07 0.000000e+00 988.703927 7.011980e+08
0.0523407649 2870.356813 1385347.260385 1.617855 1.536154e-07 0.000000e+00 989.049137 6.794652e+08
0.0527220473 2870.242435 1384813.597103 1.617309 1.538873e-07 0.000000e+00 989.382643 6.600009e+08
0.0531033296 2870.129729 1384292.002555 1.616776 1.542501e-07 0.000000e+00 989.708605 6.408277e+08
0.0534846119 2870.017975 1383779.987067 1.616254 1.547813e-07 0.000000e+00 990.028574 6.230910e+08
0.0535989966 2869.984612 1383628.055548 1.616099 1.550111e-07 0.000000e+00 990.123516 6.180409e+08
0.0537133813 2869.951359 1383476.918640 1.615945 1.553330e-07 0.000000e+00 990.217960 6.130365e+08
0.0538277660 2869.918163 1383326.373837 1.615791 1.558541e-07 0.000000e+00 990.312028 6.081361e+08
0.0539421507 2869.884841 1383175.696939 1.615638 1.570076e-07 0.000000e+00 990.406163 6.033804e+08
0.0539764661 2869.874694 1383129.961969 1.615591 1.577931e-07 0.000000e+00 990.434723 6.020979e+08
0.0539867607 2869.871601 1383116.044619 1.615577 1.581620e-07 0.000000e+00 990.443411 6.017263e+08
0.0539970554 2869.868456 1383101.922113 1.615562 1.586638e-07 0.000000e+00 990.452223 6.013851e+08
0.0540073500 2869.865215 1383087.414166 1.615548 1.594108e-07 0.000000e+00 990.461269 6.011023e+08
0.0540176446 2869.861734 1383071.927163 1.615532 1.607702e-07 0.000000e+00 990.470909 6.009855e+08
0.0540207330 2869.860559 1383066.749189 1.615526 1.615067e-07 0.000000e+00 990.474125 6.010789e+08
0.0540216595 2869.860172 1383065.054482 1.615525 1.618144e-07 0.000000e+00 990.475175 6.011425e+08
0.0540225860 2869.859752 1383063.224134 1.615523 1.622052e-07 0.000000e+00 990.476308 6.012472e+08
0.0540235125 2869.859264 1383061.118838 1.615521 1.627643e-07 0.000000e+00 990.477607 6.014518e+08
0.0540237905 2869.859090 1383060.373282 1.615520 1.630018e-07 0.000000e+00 990.478066 6.015830e+08
0.0540240685 2869.858861 1383059.408065 1.615519 1.633736e-07 0.000000e+00 990.478659 6.018863e+08
0.0540240935 2869.858830 1383059.275475 1.615519 1.634350e-07 0.000000e+00 990.478740 6.020009e+08
0.0540240941 2869.858829 1383059.270691 1.615519 1.634374e-07 0.000000e+00 990.478743 6.020071e+08
0.0540240948 2869.858828 1383059.270260 1.615519 1.634372e-07 1.735489e-14 990.478743 6.019911e+08
0.0540240955 2869.858828 1383059.268811 1.615519 1.634375e-07 5.590529e-14 990.478744 6.019669e+08
0.0540240962 2869.858828 1383059.269674 1.615519 1.634365e-07 1.368335e-13 990.478743 6.019133e+08
0.0540240969 2869.858828 1383059.268321 1.615519 1.634367e-07 2.675895e-13 990.478744 6.018397e+08
0.0540240972 2869.858828 1383059.266026 1.615519 1.634379e-07 0.000000e+00 990.478746 6.019331e+08
0.0540240976 2869.858827 1383059.262804 1.615519 1.634395e-07 3.284690e-13 990.478747 6.017400e+08
0.0540240980 2869.858827 1383059.262811 1.615519 1.634392e-07 4.204501e-11 990.478747 5.796907e+08
0.0540240984 2869.858826 1383059.261255 1.615519 1.634399e-07 2.178920e-11 990.478748 5.903011e+08
0.0540240984 2869.858826 1383059.260966 1.615519 1.634400e-07 1.548018e-11 990.478749 5.936223e+08
0.0540240984 2869.858826 1383059.261081 1.615519 1.634399e-07 1.934948e-11 990.478749 5.915795e+08
0.0540240985 2869.858826 1383059.260831 1.615519 1.634401e-07 1.395084e-11 990.478749 5.944214e+08
0.0540240985 2869.858826 1383059.260742 1.615519 1.634401e-07 1.195296e-11 990.478749 5.954735e+08
0.0540240985 2869.858826 1383059.260641 1.615519 1.634402e-07 9.642951e-12 990.478749 5.966902e+08
0.0540240985 2869.858826 1383059.260668 1.615519 1.634401e-07 1.057715e-11 990.478749 5.961973e+08
0.0540240985 2869.858826 1383059.260646 1.615519 1.634401e-07 1.008800e-11 990.478749 5.964549e+08
0.0540240985 2869.858826 1383059.260617 1.615519 1.634402e-07 9.443179e-12 990.478749 5.967946e+08
0.0540240985 2869.858826 1383059.260624 1.615519 1.634402e-07 9.690043e-12 990.478749 5.966643e+08
0.0540240985 2869.858826 1383059.260598 1.615519 1.634402e-07 9.087123e-12 990.478749 5.969819e+08
0.0540240985 2869.858826 1383059.260606 1.615519 1.634402e-07 9.347836e-12 990.478749 5.968444e+08
0.0540240985 2869.858826 1383059.260583 1.615519 1.634402e-07 8.821087e-12 990.478749 5.971219e+08
0.0540240985 2869.858826 1383059.260588 1.615519 1.634402e-07 9.004864e-12 990.478749 5.970249e+08
0.0540240985 2869.858826 1383059.260590 1.615519 1.634402e-07 9.090803e-12 990.478749 5.969796e+08
0.0540240985 2869.858826 1383059.260591 1.615519 1.634402e-07 9.118027e-12 990.478749 5.969652e+08
0.0540240985 2869.858826 1383059.260592 1.615519 1.634402e-07 9.145476e-12 990.478749 5.969508e+08
0.0540240985 2869.858826 1383059.260592 1.615519 1.634402e-07 9.147949e-12 990.478749 5.969495e+08
0.0540240985 2869.858826 1383059.260592 1.615519 1.634402e-07 9.150423e-12 990.478749 5.969482e+08
0.0540240985 2869.858826 1383059.260592 1.615519 1.634402e-07 9.151166e-12 990.478749 5.969478e+08
0.0540240985 2869.858826 1383059.260592 1.615519 1.634402e-07 9.151908e-12 990.478749 5.969474e+08
0.0540240985 2869.858826 1383059.260592 1.615519 1.634402e-07 9.152130e-12 990.478749 5.969473e+08
0.0540240985 2869.858826 1383059.260592 1.615519 1.634402e-07 9.152197e-12 990.478749 5.969472e+08
0.0540240985 2869.858826 1383059.260592 1.615519 1.634402e-07 9.152264e-12 990.478749 5.969472e+08
0.0540240985 2869.858826 1383059.260592 1.615519 1.634402e-07 9.152331e-12 990.478749 5.969472e+08
0.0540240985 2869.858826 1383059.260592 1.615519 1.634402e-07 9.152308e-12 990.478749 5.969472e+08
0.0540240985 2869.858826 1383059.260592 1.615519 1.634402e-07 9.152319e-12 990.478749 5.969472e+08
0.0540240985 2869.858826 1383059.260592 1.615519 1.634402e-07 9.152359e-12 990.478749 5.969471e+08
0.0540240985 2869.858826 1383059.260592 1.615519 1.634402e-07 9.152345e-12 990.478749 5.969471e+08
0.0540240985 2869.858826 1383059.260592 1.615519 1.634402e-07 9.152335e-12 990.478749 5.969472e+08
0.0540240985 2869.858826 1383059.260592 1.615519 1.634402e-07 9.152330e-12 990.478749 5.969472e+08
